brand,model,year,category,component_type,component_name,default_lifespan_km
Giant,Revolt 1,2024,GRAVEL,FRAME,ALUXX-Grade Aluminum,
Giant,Revolt 1,2024,GRAVEL,FORK,Advanced-Grade Composite (OverDrive steerer),
Giant,Revolt 1,2024,GRAVEL,GROUPSET,Shimano GRX 2x10,
Giant,Revolt 1,2024,GRAVEL,BRAKES,Hydraulic disc,
Specialized,Diverge Comp E5,2024,GRAVEL,FRAME,E5 Premium Aluminum,
Specialized,Diverge Comp E5,2024,GRAVEL,FORK,FACT Carbon,
Specialized,Diverge Comp E5,2024,GRAVEL,GROUPSET,Shimano GRX 2x11,
Specialized,Diverge Comp E5,2024,GRAVEL,BRAKES,Hydraulic disc,
Trek,Marlin 7 Gen 3,2025,MTB,FRAME,Aluminum frame,
Trek,Marlin 7 Gen 3,2025,MTB,FORK,RockShox Recon Silver RL 100mm,
Trek,Marlin 7 Gen 3,2025,MTB,GROUPSET,Shimano Deore 1x10,
Trek,Marlin 7 Gen 3,2025,MTB,BRAKES,Hydraulic disc,
Trek,Domane AL 2 Gen 4,2024,ROAD,FRAME,Alpha Aluminum,
Trek,Domane AL 2 Gen 4,2024,ROAD,FORK,Domane Carbon,
Trek,Domane AL 2 Gen 4,2024,ROAD,GROUPSET,Shimano Claris 2x8,
Trek,Domane AL 2 Gen 4,2024,ROAD,BRAKES,Disc brakes,
Cannondale,Topstone 2,2024,GRAVEL,FRAME,SmartForm C2 Alloy,
Cannondale,Topstone 2,2024,GRAVEL,FORK,Full Carbon,
Cannondale,Topstone 2,2024,GRAVEL,GROUPSET,Shimano GRX 2x10,
Cannondale,Topstone 2,2024,GRAVEL,BRAKES,Hydraulic disc,
Canyon,Grizl 7,2024,GRAVEL,FRAME,Aluminium,
Canyon,Grizl 7,2024,GRAVEL,FORK,CF Carbon,
Canyon,Grizl 7,2024,GRAVEL,GROUPSET,Shimano GRX 2x11,
Canyon,Grizl 7,2024,GRAVEL,BRAKES,Hydraulic disc,
